;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Residential (sqm);5150155487;4873148957;5308541695;5717305588;6096898525;6446202613;7115986695;7448689202;7752849643;8027156750;8062813502;8845737425;9059997762;9244027946;9396861524;9642551237;9933385525;10005725482;10048934511;10055790663;10028120219;10137397370;10048990716;9921409939;9757065833;9553174109;9506539230;9226441172;8907237502;8552235101;8146360302
Office (sqm);398783260;316271894,3;353351046,5;392274917,9;433192634,9;476019688,1;484364931,8;493906028,3;528883082,9;564136729,2;564037463,2;593182062,2;595009219,1;621678912,5;647518738,7;653467729,2;637046438,4;656259833,1;673836068,5;690632952;706198948,5;686821696,5;697920718;708113912,5;716518937;723580173,6;692055994,7;695582238,4;697347458,4;696627160,2;695948269,5
Retail (sqm);554841105,2;403573613,5;452316763,1;504463858,5;560690021,8;621312044,3;640295788,6;658836606,3;711549130,1;766401193,7;775551511,9;825709430,5;832397940,4;877011641,8;921427615,2;939207375,3;920536827,6;954798720,4;986954364,1;1018658131;1048964643;1022789535;1045240845;1066727153;1085450537;1102247464;1049271500;1059026690;1066171295;1069294110;1074061620
Other (sqm);1216393725;1297053886;1409587825;1518291600;1623385755;1724570790;1762696641;1774756009;1857805264;1936773180;2012175880;1961455352;2025602493;2084876901;2139912964;2138993985;2130582626;2170935103;2204451353;2233295437;2256518721;2229099657;2238953930;2243250076;2241877146;2234781172;2173780098;2154291336;2127061986;2090744622;2047877365
