;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Total Without Removals Annual Emissions Reduction (CtCO2e);0;0;1,3;1,51;1,72;1,93;2,54;3,04;3,35;3,66;3,77;3,98;4,19;4,8;4,91;5,02;5,13;5,24;5,45;5,56;5,67;5,88;5,99;6,6;6,8;6,9;6,9;7;7;7,1;7,2;7,3;7,4
Total Annual Emissions Reduction (CtCO2e);0;0;1,46;2,02;2,45;2,49;3,22493;3,9429;4,5905;5,1381;5,2857;6,0303;6,6779;8,3695;8,7581;9,3467;9,2293;9,4239;9,6595;10,0541;10,9957;11,1843;11,9259;12,4555;13,0581;13,1017;13,0453;12,7949;13,0445;12,9941;12,9484;11,9343;12,0014
