;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Total Activity (t);1869000000;1869000000;1869000000;1869000000;1869000000;1781000000;1881363636;1887545455;1893727273;1899909091;1906090909;1912272727;1918454545;1924636364;1930818182;1937000000;1939100000;1941200000;1943300000;1945400000;1947500000;1949600000;1951700000;1953800000;1955900000;1958000000;1960900000;1963800000;1966700000;1969600000;1972500000;1975400000;1978300000;1981200000;1984100000;1987000000
Total Emissions (tCO2e);3519088653;3519088653;3519088653;3519465758;3519088653;3219671021;3210775460;3112743959;3014689276;2916611411;2818510364;2720386136;2622238725;2524068133;2425874359;2327657403;2201686701;2075712349;1949734350;1823752701;1697767404;1571778457;1445785863;1319789619;1193789727;1067786185;982724353,3;897662376,1;812600254;727537986,8;642475574,6;557413017,5;472350315,3;387287468,1;302224475,9;217161338,8
Primary Intensity (tCO2e/t);2,421107357;2,442401809;2,46428628;2,487067691;2,509887206;2,423218137;2,297028909;2,232556483;2,169051893;2,10515402;2,040846922;1,976114124;1,910938597;1,844224406;1,778148479;1,711575281;1,620930111;1,529490164;1,43723907;1,344160028;1,249489736;1,154754756;1,059139167;0,962624307;0,865191004;0,76681956;0,703314055;0,639338525;0,574881954;0,509933019;0,444480079;0,378768056;0,312232571;0,245155828;0,177524789;0,109326039
Secondary Intensity (tCO2e/t);0,565125;0,5521;0,539075;0,52605;0,513025;0,5;0,486975;0,47395;0,460925;0,4479;0,434875;0,42185;0,408825;0,3958;0,382775;0,36975;0,356725;0,3437;0,330675;0,31765;0,304625;0,2916;0,278575;0,26555;0,252525;0,2395;0,226475;0,21345;0,200425;0,1874;0,174375;0,16135;0,148325;0,1353;0,122275;0,10925
Total Scrap Ratio (%);0,32;0,32;0,32;0,32;0,32;0,32;0,326;0,332;0,338;0,344;0,35;0,356;0,362;0,368;0,374;0,38;0,384;0,388;0,392;0,396;0,4;0,404;0,408;0,412;0,416;0,42;0,424;0,428;0,432;0,436;0,44;0,444;0,448;0,452;0,456;0,46
