;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
LT.RSF.CO2-INT (kg/sqm);30,37338235;28,5555905;26,35811404;24,21457728;22,14434271;20,23543457;18,26721371;16,47039753;14,77025384;13,16635501;11,60589271;10,28679708;8,998823934;7,790634013;6,658757636;5,603369697;4,608188876;3,689889303;2,908332041;2,281716086;1,779090721;1,500566924;1,290378088;1,106080468;0,945937137;0,796236007;0,688828829;0,585754847;0,49455375;0,410651826;0,330481555
LU.RSF.CO2-INT (kg/sqm);32,49945634;30,20407881;27,589493;25,10080079;22,74428378;20,59978555;18,43463056;16,47864615;14,65114169;12,94810981;11,31474886;9,941805094;8,620583149;7,39653879;6,264196706;5,221627705;4,251554251;3,367737291;2,623202355;2,031351386;1,560695911;1,298398122;1,100899471;0,929217692;0,781278141;0,64465245;0,546617687;0,453816414;0,372575969;0,298811477;0,229394464
MT.RSF.CO2-INT (kg/sqm);17,61705378;16,59311067;15,3599122;14,16802388;13,00072959;11,94207442;10,83916825;9,839788573;8,893336084;7,996287667;7,120202547;6,381816471;5,650987104;4,958215508;4,29839886;3,670395799;3,069691935;2,504226254;2,014379561;1,618473736;1,29582853;1,118301327;0,983452578;0,863791068;0,759077976;0,659806107;0,588790297;0,520015036;0,459321452;0,403324831;0,349680659
NL.RSF.CO2-INT (kg/sqm);29,05601439;27,28305922;25,17847649;23,14281788;21,18510237;19,38367849;17,52353742;15,82392658;14,21243952;12,6885538;11,20152726;9,94309211;8,710695355;7,551792739;6,463421316;5,446101219;4,484267984;3,594433718;2,835483409;2,225871037;1,735938506;1,4647068;1,259825685;1,07976653;0,922959207;0,775994425;0,670469674;0,568984321;0,479072562;0,396273234;0,317092253
PL.RSF.CO2-INT (kg/sqm);82,05682472;76,98441747;70,96872587;65,14498848;59,53869846;54,37305277;49,04169442;44,16764059;39,54833383;35,18437751;30,9350362;27,33913365;23,82880651;20,53755995;17,45709594;14,58848465;11,88805005;9,400694527;7,286878118;5,594229791;4,238322802;3,485400715;2,916965058;2,419179769;1,987217655;1,584548508;1,295354766;1,018940768;0,775192949;0,551990172;0,339899321
PT.RSF.CO2-INT (kg/sqm);11,23584473;10,59843862;9,837880733;9,101399383;8,389354905;7,730710475;7,041266785;6,40664732;5,799289246;5,219824105;4,648950089;4,163960761;3,685041164;3,231755076;2,803485886;2,400931358;2,018187783;1,662294638;1,35765665;1,112360717;0,914779456;0,806185582;0,724363481;0,652335563;0,589546186;0,530500226;0,488446372;0,447872369;0,411973664;0,3789289;0,34730405
RO.RSF.CO2-INT (kg/sqm);27,09462121;25,44078781;23,48483684;21,5968163;19,78296575;18,11479119;16,39082226;14,81487796;13,31919053;11,90324983;10,51974138;9,34823546;8,199590295;7,118449291;6,102273494;5,15174142;4,252388419;3,419775886;2,709267335;2,138351591;1,679318077;1,425619813;1,234109102;1,065709817;0,918956581;0,781184384;0,682335602;0,587039265;0,502453262;0,424371064;0,349499863
SK.RSF.CO2-INT (kg/sqm);25,14087848;23,59380514;21,7571317;19,99522895;18,31872059;16,75309934;15,13667768;13,65857985;12,25720948;10,93271287;9,642335238;8,549895313;7,482931746;6,482163955;5,545239274;4,672655918;3,851311401;3,094977479;2,452421983;1,938059541;1,526197573;1,297392299;1,124673076;0,973507948;0,842400371;0,720261489;0,632520802;0,548685837;0,474748859;0,407031199;0,342683351
SI.RSF.CO2-INT (kg/sqm);26,56129077;24,86746549;22,88789133;20,98529513;19,16561814;17,49754899;15,78604146;14,22715653;12,75466186;11,36719239;10,018825;8,879408454;7,768059436;6,726522565;5,75173397;4,843738373;3,988467986;3,200080658;2,529627715;1,992428082;1,561795118;1,322924516;1,142601452;0,984561832;0,8473049;0,719166289;0,627177461;0,539094698;0,461320901;0,389983997;0,322065308
ES.RSF.CO2-INT (kg/sqm);16,40365149;15,35142015;14,12661286;12,95090469;11,82780664;10,79900246;9,745830509;8,787450587;7,883538566;7,033207312;6,208653272;5,512302426;4,834805349;4,201261431;3,609704071;3,060019858;2,543638402;2,06888;1,665981851;1,343708112;1,08580831;0,94246893;0,834260527;0,739577752;0,657467078;0,580998235;0,526029686;0,473536412;0,427259193;0,384908213;0,34471064
SE.RSF.CO2-INT (kg/sqm);3,899984307;3,699935188;3,453130688;3,211257391;2,976171292;2,758553464;2,53073445;2,321508655;2,121628308;1,9311783;1,743512756;1,584470761;1,427116845;1,277944837;1,136704771;1,003627456;0,876730348;0,758445171;0,657162969;0,575763582;0,510391419;0,475322389;0,449336175;0,426637442;0,407054486;0,388700653;0,376174884;0,36411002;0,353609665;0,344031714;0,334862232
UK.RSF.CO2-INT (kg/sqm);32,31467514;30,12997228;27,61820473;25,21359631;22,92436685;20,83241924;18,70547509;16,77674715;14,96624973;13,27130344;11,63736739;10,26078848;8,929615253;7,691224198;6,540918711;5,477635333;4,4844029;3,57610285;2,808631865;2,196971336;1,709361493;1,437685412;1,232821367;1,054269733;0,900020596;0,757147088;0,654468281;0,556987196;0,471429141;0,393538237;0,320047156
HR.RSF.CO2-INT (kg/sqm);20,64150378;19,55891441;18,17707404;16,82325201;15,50566617;14,28351816;13,00039819;11,8189573;10,68743217;9,606798459;8,539853871;7,63351447;6,735390918;5,882469607;5,073402765;4,309499585;3,579390564;2,896846938;2,309852746;1,835151757;1,450978458;1,239930215;1,080474834;0,93933723;0,815585984;0,698332499;0,614411878;0,532707785;0,459724291;0,391796036;0,325990348
CH.RSF.CO2-INT (kg/sqm);26,84071328;25,03729507;22,94720417;20,94224522;19,03222176;17,28701134;15,51543232;13,91062043;12,40671835;11,00134234;9,649156647;8,511195086;7,412515465;6,391714756;5,444528964;4,569684741;3,752850542;3,006083435;2,375158507;1,872315492;1,471350245;1,248010243;1,079592331;0,932747863;0,805826282;0,688165038;0,603584765;0,523193878;0,45255707;0,388159724;0,327296564
NO.RSF.CO2-INT (kg/sqm);4,811503852;4,515565503;4,177310138;3,852546634;3,542458033;3,258511898;2,968537688;2,704937219;2,456740728;2,22367084;1,998165975;1,807820396;1,623034462;1,450528863;1,289717943;1,140518385;1,000580964;0,872096238;0,763117571;0,675925416;0,606108981;0,567015578;0,537368444;0,511382039;0,488791448;0,467742912;0,452446451;0,437833617;0,424894157;0,413015623;0,401724636
AT.RMF.CO2-INT (kg/sqm);20,26713819;19,04056892;17,58622393;16,18063731;14,82892999;13,58497194;12,29860676;11,12240966;10,00593871;8,948918648;7,916011737;7,041462778;6,183825389;5,376424578;4,617316993;3,906986992;3,234617081;2,611892849;2,080324533;1,653088525;1,309521443;1,119564161;0,976115862;0,849975605;0,740074971;0,636982625;0,563046518;0,491884488;0,428840379;0,370779719;0,315244094
BE.RMF.CO2-INT (kg/sqm);43,36710589;40,30167091;36,81245426;33,49259605;30,34970141;27,48984265;24,6020006;21,99288709;19,55470662;17,28213517;15,10202524;13,26933848;11,50532574;9,870795683;8,358487574;6,965862155;5,669841888;4,488838294;3,493796673;2,702708155;2,073520199;1,7229755;1,459045875;1,229581176;1,031823262;0,849142082;0,718106493;0,594039826;0,485431193;0,386807125;0,293959556
BG.RMF.CO2-INT (kg/sqm);29,10614502;27,19892288;24,98183477;22,85418462;20,82340879;18,96456038;17,06613469;15,3407945;13,71638027;12,19099878;10,71491109;9,469485516;8,260182491;7,131198484;6,07871876;5,10224203;4,186368331;3,345565526;2,632886494;2,063408245;1,608167088;1,355034322;1,164024612;0,997081131;0,852471508;0,718009714;0,621392361;0,529284732;0,448200513;0,374116838;0,303928041
CY.RMF.CO2-INT (kg/sqm);23,67330498;22,4720111;20,94643702;19,4374929;17,96196895;16,59264508;15,14833108;13,81864564;12,54223929;11,31901563;10,10342051;9,069912975;8,036392076;7,046697754;6,099306457;5,196249585;4,324239952;3,50103112;2,787474804;2,206593344;1,733344073;1,473994202;1,277447228;1,102236505;0,947540497;0,799682058;0,693489646;0,58914815;0,495196439;0,407011783;0,320870766
CZ.RMF.CO2-INT (kg/sqm);56,10276868;52,22828336;47,78192134;43,53603389;39,50342728;35,82533598;32,09723105;28,72206722;25,56048671;22,60691333;19,76629479;17,37558946;15,06883483;12,92698766;10,94130048;9,109213167;7,400897356;5,841434227;4,525741284;3,478616145;2,644969817;2,180883317;1,831409866;1,527313148;1,265042908;1,022509368;0,848608723;0,683772988;0,53938109;0,408164715;0,284549096
DK.RMF.CO2-INT (kg/sqm);17,72754746;16,62323255;15,32545455;14,07456291;12,87458693;11,77176002;10,63650175;9,600291352;8,6195738;7,694029723;6,793475334;6,031874143;5,288636082;4,591906397;3,93980309;3,332459823;2,760534895;2,23350717;1,78545129;1,426544295;1,138917267;0,979344047;0,85888669;0,75333937;0,661693015;0,576171184;0,514773902;0,45602325;0,404186392;0,356691385;0,311537609
EE.RMF.CO2-INT (kg/sqm);85,77093706;80,18851177;73,70142491;67,48273702;61,54607016;56,11072498;50,54042954;45,47042154;40,68432798;36,17685786;31,79820159;28,09942414;24,49258781;21,11280272;17,94967623;15,00294943;12,22651838;9,666108375;7,487716907;5,74142684;4,340687589;3,563779823;2,977033698;2,462319405;2,014825475;1,596500085;1,295866019;1,007531356;0,75249322;0,518096723;0,294443935
FI.RMF.CO2-INT (kg/sqm);22,53491064;21,14657676;19,50711967;17,92539358;16,40739333;15,01276676;13,57483198;12,26224999;11,01864648;9,843233924;8,696546181;7,726357273;6,77616534;5,882495184;5,043000413;4,258064255;3,515677887;2,828638649;2,242508891;1,771622744;1,393128111;1,183552157;1,025199239;0,88600609;0,76477554;0,651176576;0,569579488;0,491148167;0,421698189;0,357802323;0,296785978
FR.RMF.CO2-INT (kg/sqm);18,16277293;17,00068152;15,6374435;14,32428674;13,06813412;11,91715379;10,74041407;9,670767886;8,6634089;7,717138692;6,800796102;6,027661859;5,27609367;4,573663651;3,917970504;3,308731992;2,736335202;2,209957816;1,763159968;1,405710621;1,11961157;0,960687713;0,840744032;0,735788127;0,644770122;0,559986266;0,499089066;0,440908753;0,389604846;0,342620714;0,297972079
DE.RMF.CO2-INT (kg/sqm);33,19147983;31,08244992;28,60836628;26,22564563;23,94443622;21,84927837;19,70440548;17,74840452;15,90117632;14,16094249;12,47360749;11,04152612;9,648101869;8,342078594;7,119551389;5,980606547;4,906978112;3,917010185;3,074788528;2,399700265;1,857782594;1,557964865;1,33113519;1,13225539;0,959465729;0,798365179;0,682206131;0,571222765;0,473205171;0,38329014;0,297665667
EL.RMF.CO2-INT (kg/sqm);31,01808894;29,00112963;26,65647256;24,40900916;22,26544447;20,30515347;18,30014346;16,47777162;14,75991136;13,14401719;11,57581408;10,25200578;8,961651806;7,752767125;6,621382386;5,567252947;4,573795603;3,657382405;2,877534159;2,252283759;1,750704558;1,472570065;1,262520061;1,078250011;0,918055477;0,768327465;0,660764186;0,557645523;0,466498767;0,382813208;0,303076624
HU.RMF.CO2-INT (kg/sqm);23,927173;22,56308048;20,88308659;19,23243486;17,62965036;16,14685808;14,60993494;13,20320031;11,86777794;10,603769;9,369232709;8,311807798;7,278567965;6,308643722;5,399406074;4,551205947;3,751224754;3,013090212;2,384969557;1,881478911;1,477787565;1,253522479;1,084177547;0,9358147;0,807020216;0,686881478;0,600590423;0,518021201;0,445119903;0,378257884;0,314622713
IE.RMF.CO2-INT (kg/sqm);40,37898975;37,99616655;35,12429106;32,32861069;29,62665875;27,13218986;24,54526474;22,17620356;19,92452413;17,79056075;15,70340978;13,93508598;12,19976552;10,56515087;9,027581399;7,588301386;6,225672281;4,96356288;3,886100074;3,019977136;2,323381287;1,937572899;1,645956332;1,389490087;1,165985878;0,956365001;0,805702278;0,66069766;0,532103979;0,413565509;0,300102396
IT.RMF.CO2-INT (kg/sqm);26,69286361;24,90569726;22,84292245;20,86933741;18,99098097;17,27530132;15,52943744;13,94589125;12,45846093;11,06482376;9,719509237;8,585688492;7,487240092;6,463660296;5,511145798;4,62891016;3,80282331;3,04560835;2,404538061;1,892760334;1,484011398;1,256580642;1,084998548;0,935157681;0,805456713;0,68498068;0,598386627;0,515918097;0,443361099;0,377115739;0,31440667
LV.RMF.CO2-INT (kg/sqm);27,33759053;25,50069013;23,45842453;21,49725511;19,59229171;17,84568118;16,05942404;14,43414321;12,90273591;11,46404782;10,07194831;8,896912167;7,756764615;6,693169787;5,702684377;4,784890084;3,925409505;3,137685679;2,470929611;1,938785278;1,513932365;1,277385402;1,098919661;0,943159008;0,808423969;0,683410251;0,593564545;0,508121057;0,433040228;0,364593289;0,299906291
LT.RMF.CO2-INT (kg/sqm);30,37338235;28,46806309;26,19662269;23,99216682;21,8733035;19,92601749;17,93221906;16,11821392;14,40951094;12,80479457;11,25197319;9,941929735;8,669896859;7,482313571;6,375121807;5,347785378;4,384111565;3,499359031;2,749414271;2,150185864;1,671197799;1,405068944;1,204394814;1,029071056;0,87725278;0,736046422;0,634706118;0,537987621;0,452753632;0,374723789;0,300587411
LU.RMF.CO2-INT (kg/sqm);32,49945634;30,11149852;27,42045723;24,87025038;22,46590149;20,28479723;18,09656572;16,12628617;14,29330793;12,59254258;10,96970773;9,608503684;8,305481618;7,103814975;5,997367558;4,983455635;4,044818619;3,193841586;2,479864709;1,914253514;1,466047538;1,21576642;1,027541948;0,86452212;0,72454965;0,595921467;0,503668801;0,416808524;0,34108552;0,272668381;0,208644286
MT.RMF.CO2-INT (kg/sqm);17,61705378;16,54225016;15,26580483;14,03789083;12,84160509;11,7594699;10,64039336;9,62938611;8,67612872;7,776702118;6,90307331;6,167864537;5,444430928;4,761990246;4,115304657;3,502979466;2,920425416;2,374918605;1,904309355;1,525176323;1,217243034;1,047131214;0,917921031;0,80365074;0,703961436;0,609929619;0,542527821;0,477608771;0,420499198;0,368037834;0,318049835
NL.RMF.CO2-INT (kg/sqm);29,05601439;27,19943232;25,02421257;22,93025151;20,92580393;19,08728548;17,20218073;15,48556635;13,86532046;12,34011422;10,8599388;9,609747553;8,392300022;7,252924628;6,188106015;5,197690326;4,266216437;3,408832368;2,680546251;2,09756002;1,630662549;1,371491004;1,175878245;1,004589192;0,855943274;0,717334954;0,61778948;0,522584701;0,438580927;0,361603183;0,288409256
PL.RMF.CO2-INT (kg/sqm);66,42695335;62,56045398;57,89388454;53,34779923;48,94472087;44,87066255;40,62727691;36,73086701;33,01651023;29,48696826;26,02612106;23,08997365;20,20329349;17,48039545;14,91620293;12,51358378;10,23690712;8,126547646;6,323784534;4,873788672;3,706915553;3,060307714;2,571217361;2,140781635;1,76541911;1,413212899;1,159823685;0,915914462;0,699552121;0,500089189;0,30915328
PT.RMF.CO2-INT (kg/sqm);11,23584473;10,56595272;9,777605837;9,017803193;8,28667206;7,612501305;6,912139993;6,26965511;5,657649672;5,076482846;4,507181231;4,024362974;3,550344695;3,103855838;2,684068859;2,291418612;1,920051595;1,576460775;1,283471253;1,048238343;0,859302674;0,75487891;0,676096121;0,606917549;0,546739324;0,490398311;0,450068127;0,411349204;0,377153287;0,34577631;0,315888206
RO.RMF.CO2-INT (kg/sqm);27,09462121;25,36280776;23,34094954;21,39844993;19,54082899;17,83780055;16,09023795;14,49809403;12,99388782;11,57637544;10,19894385;9,034833616;7,899876991;6,836731086;5,842341613;4,916757046;4,045612224;3,243193127;2,561226906;2,015085659;1,577475865;1,334891562;1,151875266;0,991511159;0,852231278;0,72213259;0,628723077;0,539167298;0,45998547;0,387242727;0,317885393
SK.RMF.CO2-INT (kg/sqm);19,67547011;18,55936677;17,20219662;15,88994482;14,63192828;13,44957989;12,21372105;11,07703792;9,99095922;8,956490218;7,939321057;7,075385103;6,223664524;5,418467825;4,658605116;3,945259649;3,268087651;2,639447027;2,10192982;1,669378709;1,321175403;1,128704502;0,983312924;0,855379376;0,743856216;0,639159424;0,564078804;0,491736139;0,42757587;0,36839637;0,311685478
SI.RMF.CO2-INT (kg/sqm);26,56129077;24,79124277;22,74766141;20,79254557;18,9310375;17,22999652;15,49654797;13,92293975;12,44314699;11,05503864;9,713302822;8,581724148;7,484119547;6,460315167;5,506733637;4,622802822;3,794525159;3,034842031;2,391403196;1,877573955;1,467080084;1,238731924;1,066465152;0,916012997;0,785782215;0,664802608;0,577898827;0,495132521;0,422329652;0,355864193;0,292932467
ES.RMF.CO2-INT (kg/sqm);16,40365149;15,30436562;14,04006169;12,83195086;11,68303832;10,63387648;9,567105874;8,599550081;7,690994102;6,840068852;6,019321559;5,32750116;4,658082436;4,03499322;3,455945448;2,920444365;2,419951707;1,962051789;1,574948875;1,266249647;1,019959486;0,882489014;0,778670269;0,688085614;0,60972849;0,537079042;0,484698442;0,434920393;0,39114687;0,351232491;0,313529385
SE.RMF.CO2-INT (kg/sqm);3,801665375;3,598565182;3,350971251;3,109234133;2,875113816;2,658860247;2,433749299;2,227475264;2,031062835;1,844531404;1,661485565;1,506473743;1,353757538;1,209471384;1,073325418;0,945484922;0,824032891;0,711208953;0,614806854;0,537403473;0,47527871;0,44159082;0,416474065;0,394510339;0,375519799;0,357745724;0,345402815;0,33353668;0,323152845;0,313655713;0,304571828
UK.RMF.CO2-INT (kg/sqm);27,29686844;25,51649532;23,44899241;21,46185175;19,56278212;17,82260084;16,04336516;14,4253745;12,90096543;11,46858868;10,0817429;8,911347874;7,774536864;6,7129546;5,723093005;4,804590166;3,94308752;3,152156315;2,481737955;1,946015396;1,517798103;1,279674767;1,099990667;0,94295542;0,806937551;0,680476735;0,589609781;0,502992901;0,426747676;0,35708969;0,291096869
HR.RMF.CO2-INT (kg/sqm);21,73838198;20,50068513;18,96188739;17,46616957;16,02154628;14,68830142;13,30489645;12,03783831;10,83311152;9,690919588;8,573124852;7,626258743;6,696439682;5,820104985;4,995238445;4,22245692;3,489994013;2,810696934;2,230186968;1,76316543;1,387208347;1,179595573;1,022824635;0,884818352;0,764440683;0,651288023;0,570167614;0,491880215;0,422367362;0,358154738;0,296502462
CH.RMF.CO2-INT (kg/sqm);23,56545785;22,00725278;20,19322982;18,45006179;16,78663491;15,26492387;13,71640118;12,31190839;10,99358615;9,759616174;8,570023821;7,568152064;6,598915565;5,696826916;4,858314904;4,082463687;3,356673795;2,691917326;2,129448525;1,680615975;1,322274068;1,122898694;0,97252391;0,841247701;0,727647851;0,622147975;0,546338357;0,474143158;0,410624332;0,35262035;0,297690523
NO.RMF.CO2-INT (kg/sqm);4,144849704;3,896802211;3,611290477;3,336447661;3,073357368;2,832049422;2,584630636;2,359330349;2,146682313;1,946512018;1,752255924;1,58818798;1,428421148;1,278904387;1,139176156;1,009216056;0,886994838;0,774500224;0,678950564;0,60247126;0,541228217;0,507245447;0,481604002;0,459155159;0,43967825;0,421519144;0,408486118;0,396023153;0,385030313;0,374959767;0,365386105
AT.OFF.CO2-INT (kg/sqm);35,95163162;33,75183571;31,15264368;28,64380846;26,23413326;24,01844376;21,73142817;19,64212189;17,66121807;15,78796399;13,95995489;12,41296321;10,89798242;9,473397591;8,135587469;6,885197119;5,703083858;4,6095335;3,67692176;2,927919644;2,326055925;1,99304626;1,741593668;1,520648713;1,328286147;1,148035134;1,018728495;0,894418802;0,784374408;0,683126296;0,586392554
BE.OFF.CO2-INT (kg/sqm);51,6591503;48,74189525;45,19656335;41,73772994;38,38344234;35,27867798;32,03373431;29,05105861;26,20128779;23,48616532;20,81375402;18,54456861;16,30359087;14,18148438;12,17471907;10,28622659;8,488148154;6,813628109;5,377828894;4,219434243;3,284272284;2,767791111;2,377023879;2,031981925;1,730136103;1,445528433;1,241007917;1,043088392;0,86690526;0,703772107;0,54680071
BG.OFF.CO2-INT (kg/sqm);56,72304753;52,91746106;48,52202961;44,31410383;40,30732568;36,64586197;32,92019144;29,54026444;26,3657543;23,39210201;20,52314708;18,10512544;15,76456511;13,58532959;11,55939409;9,685063215;7,932430172;6,328242925;4,971796087;3,890103535;3,02720354;2,546578624;2,184061449;1,867904248;1,594616255;1,341293419;1,159215857;0,986230322;0,834324905;0,695959266;0,565343312
CY.OFF.CO2-INT (kg/sqm);135,3871506;125,8159794;114,7445543;104,1190378;94,02392095;84,8216096;75,57168522;67,22686008;59,45618499;52,24167148;45,36115243;39,57507877;34,04510577;28,95328876;24,27868304;20,01466246;16,0964091;12,57730404;9,650367365;7,35050454;5,546448582;4,521685133;3,748991039;3,087748229;2,527524945;2,025836901;1,663255899;1,333451346;1,05389199;0,811369019;0,596858851
CZ.OFF.CO2-INT (kg/sqm);110,4651203;103,9185697;96,06002818;88,42508519;81,05198086;74,24707168;67,18277281;60,70996034;54,55201268;48,70999193;42,98896705;38,13958059;33,3747283;28,8816702;24,65087704;20,68631731;16,92861366;13,44425781;10,46692209;8,07164513;6,14358219;5,07584554;4,268345671;3,557489592;2,937416869;2,355273133;1,936603525;1,533317934;1,17543687;0,84536273;0,529296105
DK.OFF.CO2-INT (kg/sqm);30,98049636;29,00116025;26,69265368;24,47367694;22,35079568;20,40342414;18,40723488;16,58884857;14,87251775;13,25718187;11,69068823;10,36740783;9,0804773;7,877607054;6,755158673;5,712929824;4,7346959;3,83610607;3,074079768;2,464910632;1,977725667;1,706765531;1,502214993;1,323342194;1,16831581;1,024092826;0,920402617;0,821517876;0,734444189;0,65488;0,579498038
