;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Residential (kgCO2e/sqm);597,9622789;613,192221;545,6781766;490,6740824;445,1299267;406,8271619;354,6508224;325,5459702;300,0304507;277,4695028;263,9886699;226,1044777;206,5817584;188,575771;171,841324;154,143703;136,7014276;122,8773879;109,5685158;96,7220083;84,18184844;75,85239997;69,03241959;62,33653996;55,67519989;48,98757302;41,31335581;34,41275519;27,19894747;19,53029898;11,26735482
Office (kgCO2e/sqm);839,0398311;1026,52869;890,6986714;776,9970194;680,6754144;598,569172;566,0942901;533,4248194;477,8508781;428,9611804;410,0051576;366,3368153;341,7603956;304,6536417;270,9464495;247,1262995;231,5925676;203,5495275;177,5321077;153,0099248;129,878209;121,6402094;107,9928042;94,89390708;82,37183022;70,27038396;61,65908158;49,59416088;37,74602964;26,05034554;14,32959759
Retail (kgCO2e/sqm);839,0398311;1119,28488;968,1133569;840,6428906;731,6948698;638,0595266;595,8165061;556,3800294;494,1728494;439,3168939;414,8760175;366,1618041;339,8960678;300,4684389;264,9148419;239,2287252;222,9904432;194,6551072;168,6420217;144,3344994;121,6561915;113,6492563;100,3266348;87,64352055;75,65333187;64,18175461;56,58249823;45,32145392;34,34987983;23,61285093;12,9185409
Other (kgCO2e/sqm);839,0398311;763,5033095;681,0551762;612,3390491;554,0342961;503,9593264;474,4835295;452,8101384;414,9436536;381,1192255;350,5650233;337,9305069;306,2164076;277,0954178;250,0788407;230,2877305;211,2197771;187,687925;165,5266383;144,3304516;123,9828651;114,3217679;102,6816889;91,3694511;80,30301116;69,40028165;59,8769858;48,84407023;37,74657963;26,47586479;14,85402873
