;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Freight Both Medium & Heavy Freight Trucks WTW Emissions (MTCO2e);2234,54064;2258,125789;2281,710938;2305,296086;2328,881235;2352,466383;2357,368698;2362,271014;2367,173329;2372,075644;2376,977959;2364,668066;2352,358173;2340,048279;2327,738386;2315,428493;2271,394786;2227,36108;2183,327374;2139,293667;2095,259961;2029,709787;1964,159613;1898,609438;1833,059264;1767,50909;1695,276238;1623,043386;1550,810534;1478,577682;1406,344829;1333,896552;1261,448274;1188,999996;1116,551719;1044,103441
Freight Both Medium & Heavy Freight Trucks WTW Intensity (gCO2e/tkm);84,24890498;82,22669925;80,33822555;78,57064259;76,91270215;75,3545095;73,03082678;70,85496369;68,81324986;66,89365017;65,08552731;62,52376345;60,13219174;57,89439725;55,79601022;53,82439721;51,25866555;48,83855285;46,55200422;44,38825963;42,33768462;39,97355565;37,72631499;35,5875029;33,54945679;31,60521945;29,61396346;27,71255108;25,89503596;24,15598518;22,490425;20,85757144;19,29574257;17,80040296;16,3673953;14,99290176
Freight Heavy Freight Trucks Activity (bln tkm);17693,77386;18588,48077;19483,18768;20377,89458;21272,60149;22167,30839;23132,13448;24096,96057;25061,78667;26026,61276;26991,43885;28026,38412;29061,3294;30096,27468;31131,21995;32166,16523;33271,22969;34376,29415;35481,35862;36586,42308;37691,48754;38866,67119;40041,85483;41217,03848;42392,22213;43567,40577;44812,70861;46058,01144;47303,31427;48548,61711;49793,91994;51109,34196;52424,76397;53740,18599;55055,60801;56371,03003
Freight Heavy Freight Trucks TTW Emissions (MTCO2e);1145,78794;1172,459023;1199,130106;1225,801189;1252,472272;1279,143355;1290,464415;1301,785476;1313,106536;1324,427597;1335,748657;1330,439281;1325,129905;1319,820528;1314,511152;1309,201775;1291,592584;1273,983392;1256,374201;1238,765009;1221,155818;1197,831971;1174,508124;1151,184278;1127,860431;1104,536584;1076,928808;1049,321031;1021,713254;994,1054779;966,4977013;934,7842774;903,0708535;871,3574296;839,6440058;807,9305819
Freight Heavy Freight Trucks TTW Intensity (gCO2e/tkm);64,75656063;63,07449422;61,54691552;60,15347581;58,87724981;57,70404472;55,78665541;54,02280805;52,39476953;50,88743623;49,48786409;47,47095719;45,5977043;43,85328558;42,22485189;40,70120781;38,82010361;37,05993981;35,40941637;33,85859849;32,39871646;30,81900081;29,33201095;27,92981544;26,60536236;25,35236066;24,03177226;22,78259522;21,59918962;20,47649423;19,40995412;18,28989069;17,22603566;16,21426152;15,25083522;14,33237217
Freight Heavy Freight Trucks WTT Emissions (MTCO2e);210,4854919;217,6371606;224,7888293;231,940498;239,0921667;246,2438354;248,7488766;251,2539177;253,7589589;256,264;258,7690412;255,2484776;251,7279141;248,2073505;244,686787;241,1662234;229,1445199;217,1228165;205,101113;193,0794095;181,057706;161,1800102;141,3023144;121,4246186;101,5469228;81,66922694;60,65228861;39,63535029;18,61841196;-2,398526365;-23,41546469;-42,94080839;-62,46615208;-81,99149578;-101,5168395;-121,0421832
Freight Heavy Freight Trucks WTT Intensity (gCO2e/tkm);11,89602023;11,70817364;11,53757963;11,38196574;11,23944182;11,10842287;10,75339056;10,42678876;10,12533393;9,846229412;9,58707843;9,107435211;8,661954538;8,247112082;7,859852178;7,497512423;6,887167143;6,316062327;5,780531552;5,277351358;4,803676317;4,146998065;3,528865358;2,945981154;2,395414009;1,874548771;1,353461786;0,860552791;0,393596353;-0,049404628;-0,470247466;-0,840175333;-1,191539024;-1,525701749;-1,843896437;-2,147240934
Freight Heavy Freight Trucks WTW Emissions (MTCO2e);1356,273432;1390,096183;1423,918935;1457,741687;1491,564438;1525,38719;1539,213292;1553,039393;1566,865495;1580,691597;1594,517699;1585,687759;1576,857819;1568,027879;1559,197939;1550,367999;1520,737104;1491,106209;1461,475314;1431,844419;1402,213524;1359,011981;1315,810439;1272,608896;1229,407354;1186,205811;1137,581096;1088,956381;1040,331666;991,7069515;943,0822366;891,843469;840,6047014;789,3659339;738,1271663;686,8883987
Freight Heavy Freight Trucks WTW Intensity (gCO2e/tkm);76,65258086;74,78266786;73,08449515;71,53544155;70,11669162;68,81246758;66,54004597;64,44959682;62,52010346;60,73366564;59,07494252;56,5783924;54,25965884;52,10039766;50,08470407;48,19872023;45,70727075;43,37600214;41,18994793;39,13594985;37,20239277;34,96599888;32,8608763;30,87579659;29,00077637;27,22690943;25,38523405;23,64314801;21,99278597;20,4270896;18,93970665;17,44971535;16,03449663;14,68855977;13,40693878;12,18513123
Freight Light Commercial Vehicles Activity (bln tkm);1262,542477;1286,264159;1309,98584;1333,707522;1357,429203;1381,150884;1416,631355;1452,111826;1487,592297;1523,072768;1558,55324;1603,760079;1648,966918;1694,173758;1739,380597;1784,587437;1826,601371;1868,615305;1910,629239;1952,643173;1994,657107;2031,828357;2068,999607;2106,170857;2143,342107;2180,513357;2217,266213;2254,019069;2290,771925;2327,524781;2364,277637;2404,025591;2443,773544;2483,521498;2523,269451;2563,017405
