;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Beef Northern Africa Intensity (tCO2e/t);13,5402865;13,36978474;13,20313478;13,0261832;12,85274051;12,68160854;12,54842271;12,42245737;12,28754749;12,16897679;12,04892889;11,91630875;11,79500796;11,66045006;11,54116177;11,40730374;11,30620427;11,19706954;11,08356857;10,9771631;10,85691829;10,77657056;10,67008155;10,56813131;10,47269113;10,38287164;10,26629869;10,15540576;10,06267332;9,971311429;9,88118594;9,722593188;9,585503585;9,434262705;9,295043423;9,144140536
Beef Oceania Intensity (tCO2e/t);27,20592336;26,74416256;26,45240738;26,03553239;25,61664457;25,34250698;24,94497632;24,71739468;24,49068543;24,28307427;24,05670794;23,71267608;23,48804331;23,24109601;23,01384695;22,78897729;22,86314983;22,64572573;22,42515076;22,20454283;21,99118473;21,80030501;21,70263199;21,46352561;21,22779662;21,04027175;20,73864273;20,52691004;20,31897198;20,10881929;19,90599487;19,66396277;19,29950175;19,0951837;18,86972648;18,64083777
Beef Rest of South America Intensity (tCO2e/t);40,34605918;39,91407282;39,4712548;39,02639523;38,57786101;38,15164914;37,66946899;37,42175361;37,05137954;36,65824832;36,2693737;35,98354501;35,59598723;35,20649542;34,95722471;34,56558807;34,40838763;34,04074754;33,8120409;33,44420438;33,22006533;33,19595563;32,82836864;32,60075177;32,26155313;32,04421576;31,53660871;31,31491426;30,93399423;30,55396586;30,33678044;29,7660582;29,37963608;28,99289802;28,60357902;28,19616311
Beef Rest of South Asia Intensity (tCO2e/t);65,43373814;64,13550471;62,8573821;61,60567155;60,51303795;59,24543773;58,09474855;57,06921017;56,06191062;55,08857495;53,94065637;52,95512054;51,98234998;51,01557563;50,04703929;49,08461432;48,31315489;47,39652918;46,62381788;45,88938227;44,97542419;44,22687161;43,45954083;42,73963988;42,00124454;41,28631421;40,54550513;39,81332598;39,23109017;38,52837244;37,94899876;37,05921006;36,31929031;35,43949508;34,70186069;33,96763275
Beef Rest of Southern Africa Intensity (tCO2e/t);55,6920556;55,49055165;54,37019006;53,08071758;51,83733406;50,69916408;49,65293968;48,62436589;47,73232558;46,7239524;45,68927736;44,43318173;43,41674099;42,54330846;41,52900261;40,68158545;40,06007864;39,23541183;38,42674729;37,62689464;36,82795001;35,92852748;35,14068779;34,34202369;33,57187639;32,80623096;31,62594237;30,85272557;30,08653829;29,34138756;28,58464885;27,06311142;26,13137583;25,35738208;24,44292542;23,66606129
Beef Russia Region Intensity (tCO2e/t);16,2860218;16,11097321;15,94663347;15,78480507;15,60612961;15,44129817;15,29865944;15,14587481;15,00310094;14,86489519;14,71880677;14,60333313;14,48464462;14,37128862;14,25198687;14,13962794;14,03586945;13,93071603;13,82021155;13,73028914;13,63219268;13,53002817;13,42767611;13,34390908;13,25267768;13,17159664;13,05921087;12,96581305;12,86271813;12,77754412;12,67916984;12,55366092;12,41910962;12,2887771;12,159678;12,02213472
Beef South Africa Intensity (tCO2e/t);27,15539844;26,75474089;26,0360897;25,18566519;24,47010355;23,80590901;23,24963331;22,76498702;22,1668823;21,71245993;21,25502698;20,58016619;20,14242646;19,72629483;19,31399119;19,04115562;18,64990393;18,34121139;18,03644108;17,75516844;17,45494571;17,13024248;16,86893364;16,62806111;16,39191985;16,15365923;15,88159944;15,62907095;15,39867011;15,15079989;14,90918387;14,64187817;14,37728343;14,11315397;13,85091674;13,59454138
Beef Southeast Asia Intensity (tCO2e/t);72,29946476;71,22895845;70,0849931;68,94029869;67,65211333;66,55904119;65,83701857;64,89672202;64,11193952;63,20697917;62,30672536;61,95905012;61,01885595;60,11878786;59,21994726;58,47637464;58,21179786;57,58812429;56,84389619;56,23469726;55,65266583;54,56041821;53,9668394;53,40170857;52,70937726;52,18848524;50,95156357;50,3819806;49,69188464;49,14767893;48,6074831;47,31541833;46,51873988;45,57384571;44,78430298;43,97645345
Beef Turkey Intensity (tCO2e/t);44,40105869;43,5724166;42,74275644;42,06757818;41,27104777;40,45767587;39,77861745;39,24086034;38,57778843;37,91678064;37,39613806;36,78831336;36,31566576;35,70322273;35,24887802;34,64027026;34,23177824;33,68142642;33,27479349;32,86924708;32,34141199;31,95669273;31,5682228;31,02808981;30,66634723;30,29031476;29,74300397;29,33881583;28,80985448;28,41209453;28,02754526;27,46187831;26,91054831;26,33415806;25,92124441;25,39040476
Beef Ukraine Region Intensity (tCO2e/t);14,98133174;14,78389337;14,58330965;14,39314688;14,18613733;13,97119895;13,81853548;13,65397902;13,50876412;13,35134076;13,18759998;13,05475725;12,92846726;12,79717513;12,66040121;12,51608152;12,41375201;12,29140655;12,18279775;12,08236456;11,9776398;11,86322638;11,76513331;11,6740594;11,59143967;11,49745469;11,40116114;11,30783224;11,21951906;11,13346075;11,04926054;10,94211233;10,83146771;10,70560915;10,59038619;10,46736001
