";2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050"
"LV.RSF.GHG-INT (kg/sqm);28,48410343;26,38000147;24,3883196;22,46831162;20,35871578;18,63957622;16,87037847;15,14130292;13,6143858;12,17383192;10,72482097;9,540286796;8,368999864;7,286415125;6,273666315;5,330961483;4,364389899;3,547373203;2,853281592;2,297760916;1,853045589;1,606709759;1,42112845;1,258849711;1,118272422;0,987361868;0,893811346;0,804468602;0,725866068;0,654002023;0,585761249"
"LT.RSF.GHG-INT (kg/sqm);30,54925407;28,67933311;26,48065984;24,33642836;22,22806163;20,31912007;18,35100645;16,53543342;14,83551454;13,23188652;11,66350074;10,34469744;9,054263993;7,846385533;6,714831622;5,659773335;4,650740927;3,732688831;2,95137258;2,324985917;1,822572433;1,544237313;1,33420855;1,150038038;0,989986311;0,840341458;0,732959105;0,629887111;0,538679625;0,45478445;0,374664112"
"LU.RSF.GHG-INT (kg/sqm);32,58375198;30,26317583;27,64744081;25,157577;22,78258161;20,63726806;18,47130311;16,50641888;14,67830703;12,97468211;11,33749531;9,964063444;8,641333417;7,416858547;6,284104324;5,241142081;4,265909547;3,38182672;2,637040637;2,044953278;1,574076173;1,311571484;1,113880626;0,942021289;0,7939188;0,657144776;0,558976302;0,466055995;0,384711289;0,310857468;0,241366277"
"MT.RSF.GHG-INT (kg/sqm);20,04186068;18,3336383;17,11400343;15,93589176;14,23623722;13,18932678;12,10025277;10,8226521;9,879870965;8,98429878;7,981490234;7,236099529;6,455666046;5,750724802;5,077994962;4,439100324;3,635547959;3,06054682;2,564397504;2,160188473;1,834010862;1,654734675;1,521634909;1,406574587;1,307269294;1,217253925;1,15698367;1,10059904;1,047770442;0,996425399;0,938969956"
"NL.RSF.GHG-INT (kg/sqm);29,19910726;27,38438342;25,2789559;23,24249108;21,25323626;19,45130707;17,59068435;15,87555604;14,26373078;12,7395233;11,24585799;9,987168751;8,752443588;7,593323559;6,50474649;5,487232201;4,514978944;3,625015568;2,865944122;2,256218411;1,766180175;1,494850249;1,28987826;1,109735449;0,952851573;0,805817235;0,700229831;0,598688643;0,508727791;0,425886047;0,34666927"
"PL.RSF.GHG-INT (kg/sqm);82,23591143;77,10966977;71,09166121;65,26591551;59,62080918;54,45413791;49,12190603;44,2291701;39,60939035;35,24504943;30,98785851;27,39175553;23,87878896;20,58746165;17,50696577;14,63836782;11,92550375;9,438218421;7,324498709;5,631971276;4,276207091;3,523447422;2,955191465;2,457600764;2,025845644;1,623393313;1,3344235;1,058237696;0,814719338;0,591744137;0,379875664"
"PT.RSF.GHG-INT (kg/sqm);13,89682171;12,49514463;11,72697792;10,98127835;9,677953545;9,013526447;8,319423328;7,39366878;6,784984123;6,205404742;5,51225839;5,029147607;4,511635292;4,061671555;3,637335567;3,239224404;2,650554742;2,298566495;1,998047717;1,757056732;1,563952385;1,460006846;1,383013876;1,316009907;1,258450518;1,204839083;1,168397359;1,133544871;1,103348297;1,075774317;1,049068475"
"RO.RSF.GHG-INT (kg/sqm);27,98007858;26,06774344;24,10701104;22,21474138;20,20600417;18,5354265;16,80927737;15,13732689;13,64029962;12,22320119;10,79884719;9,626647519;8,464223867;7,382683384;6,366201986;5,415422132;4,449973558;3,617158433;2,906379554;2,335084766;1,875525202;1,621121994;1,428706069;1,259194733;1,111135046;0,971897293;0,871485388;0,774619217;0,688580091;0,609321939;0,533756915"
"SK.RSF.GHG-INT (kg/sqm);25,57248361;23,89528802;22,05162648;20,2829088;18,51248675;16,94283289;15,32281279;13,80025128;12,39680031;11,07056455;9,761716773;8,668301977;7,595002684;6,593747881;5,656525656;4,78381389;3,934695814;3,178476302;2,536120947;2,02203278;1,610508904;1,382096585;1,209817649;1,059134035;0,928544472;0,806956614;0,719797486;0,636572817;0,563273282;0,496218224;0,432554969"
"SI.RSF.GHG-INT (kg/sqm);26,999231;25,17995589;23,19997858;21,29692497;19,37995876;17,7115418;15,99968677;14,39229715;12,91955233;11,53184874;10,16271102;9,023124412;7,904788083;6,863126052;5,888230592;4,98014576;4,090719068;3,302288808;2,631803392;2,094580616;1,663932712;1,425054311;1,244729652;1,086693897;0,9494458;0,821320824;0,729350643;0,641292206;0,563549593;0,492252495;0,424384654"
"ES.RSF.GHG-INT (kg/sqm);16,6981464;15,56102062;14,33522885;13,15840345;11,96994547;10,94034673;9,886425764;8,895774488;7,991409022;7,14070474;6,302462476;5,60593794;4,923889846;4,29032464;3,698813013;3,149236483;2,610673625;2,136075058;1,733368699;1,411313596;1,153654447;1,01057346;0,902637761;0,808239751;0,72642518;0,650264953;0,595621014;0,54347456;0,497575802;0,455648125;0,415936323"
"SE.RSF.GHG-INT (kg/sqm);4,077813897;3,825695883;3,577724238;3,334769232;3,060565934;2,842306122;2,613890189;2,385456995;2,185175328;1,994350296;1,798480899;1,639150244;1,478933532;1,329516598;1,188043949;1,054744718;0,914908644;0,79646943;0,695037662;0,613492077;0,547976004;0,512764305;0,48663564;0,463793678;0,444065746;0,425564247;0,412887209;0,400666585;0,390005128;0,38025991;0,370916213"
"UK.RSF.GHG-INT (kg/sqm);33,20070181;30,75959335;28,24396774;25,83571447;23,35051097;21,25630916;19,12715111;17,10147543;15,28929922;13,59274919;11,91728709;10,53935378;9,193644325;7,954018789;6,802530037;5,738102888;4,678889219;3,769758811;3,001487188;2,389069613;1,900692421;1,628269704;1,42267956;1,243422192;1,08848752;0,944948512;0,841624084;0,743517105;0,657352734;0,57887495;0,504816286"
"HR.RSF.GHG-INT (kg/sqm);24,30158698;22,14177875;20,73048203;19,34904732;17,22779306;15,98883248;14,6898575;13,11532425;11,9728079;10,8817348;9,64672382;8,732075555;7,774058357;6,913850271;6,09775566;5,327050192;4,33759708;3,650219657;3,058492782;2,57913973;2,190375462;1,97477874;1,810799643;1,665146214;1,536870993;1,415070157;1,326564395;1,240223768;1,162539557;1,089834433;1,019164589"
"CH.RSF.GHG-INT (kg/sqm);27,1520474;25,25749067;23,16525641;21,15819543;19,17956705;17,43296308;15,66001663;14,02151766;12,51659568;11,11021837;9,743562854;8,604756374;7,500831044;6,479253825;5,531305058;4,655711047;3,816817564;3,069507139;2,438048045;1,934679786;1,533197996;1,309349936;1,140432247;0,99309608;0,865690684;0,74755332;0,662504442;0,581652285;0,510561376;0,445716928;0,384413506"
"NO.RSF.GHG-INT (kg/sqm);5,401418387;4,9322224;4,589511641;4,260701561;3,820915201;3,534523877;3,242344948;2,915375178;2,665782869;2,431446093;2,178960081;1,987692296;1,793535051;1,62028619;1,458511912;1,308397409;1,125834906;0,996720909;0,88713477;0,79935324;0,728962364;0,689306812;0,659107704;0,632577889;0,609319344;0,587611348;0,57166379;0,556408588;0,542836349;0,530335967;0,518435895"
"AT.RMF.GHG-INT (kg/sqm);20,77988167;19,40271476;17,94441374;16,53500715;15,07050886;13,8240927;12,53534968;11,30391269;10,18571615;9,127023996;8,070435439;7,194510497;6,328313242;5,519677346;4,759369783;4,047873309;3,339430959;2,715878783;2,183504416;1,755483279;1,411151064;1,220447769;1,076271739;0,949421235;0,838827078;0,735057205;0,660458876;0,588649266;0,524971587;0,466290759;0,410147789"
"BE.RMF.GHG-INT (kg/sqm);44,11119037;40,82965708;37,33719944;34,01434057;30,70720998;27,84557439;24,95608172;22,26582506;19,82653509;17,55292555;15,33811394;13,50462288;11,72868008;10,09345778;8,580485221;7,187217279;5,835388468;4,653923008;3,658423261;2,866876278;2,237225507;1,886209708;1,621796838;1,391832974;1,193556281;1,010333116;0,878728846;0,754063426;0,644822725;0,545530167;0,451974733"
"BG.RMF.GHG-INT (kg/sqm);32,45691272;29,58428616;27,359845;25,22551873;22,45285415;20,59031736;18,68864925;16,59476578;14,96852026;13,4416423;11,80820564;10,56205079;9,300300696;8,171170264;7,11881761;6,142741646;4,967249366;4,127159431;3,415400947;2,84705239;2,393151872;2,141572844;1,952332477;1,787376818;1,644976746;1,512949873;1,418996861;1,329787465;1,251840286;1,181137837;1,114580322"
"CY.RMF.GHG-INT (kg/sqm);28,22284067;25,71102335;24,17319422;22,65049037;20,16491826;18,784243;17,32774332;15,49590536;14,20893123;12,97465115;11,54204432;10,49814035;9,386424771;8,386303415;7,428279833;6,514421898;5,304668007;4,473182619;3,751298163;3,162059538;2,680445408;2,412743095;2,207875007;2,024392238;1,861489854;1,705506217;1,591284237;1,479022257;1,377271645;1,281421274;1,187758489"
